Code,Year,TOTAL,CO2,CH4,N2O,GVA,ITL1
E07000118,2021,365.7383353,259.7703084,84.97662373,20.9914032,2484,TLD
E07000118,2022,349.2211676,241.1363337,88.25637979,19.82845409,2516,TLD
E07000118,2023,332.1223834,224.8233078,88.44134655,18.85772905,2577,TLD
E07000119,2015,309.0407339,183.2624036,97.01221636,28.76611391,2791,TLD
E07000119,2016,307.6426947,174.3321876,104.363961,28.946546,3039,TLD
E07000119,2017,307.2761743,162.6109594,114.3825838,30.28263103,3153,TLD
E07000119,2018,312.6496956,166.5548503,116.5715366,29.52330866,2848,TLD
E07000119,2019,286.2479088,154.8305165,101.9928236,29.42456867,2913,TLD
E07000119,2020,280.6249245,143.0645951,108.2708298,29.28949962,2704,TLD
E07000119,2021,283.7199353,149.5669963,103.8288173,30.32412165,2884,TLD
E07000119,2022,272.9740479,142.3092309,102.9312716,27.73354538,3033,TLD
E07000119,2023,259.4880953,129.5136066,103.0071379,26.96735083,3071,TLD
E07000120,2015,221.583536,173.3587833,42.28052309,5.944229585,1534,TLD
E07000120,2016,207.2334245,151.1048444,50.11483532,6.013744769,1653,TLD
E07000120,2017,209.7906492,148.3574127,55.52708626,5.906150257,1637,TLD
E07000120,2018,223.8959917,161.2239811,56.45907046,6.21294009,1473,TLD
E07000120,2019,217.9831619,164.1160968,47.90290257,5.964162534,1551,TLD
E07000120,2020,203.9822906,152.0804094,45.91219124,5.989689953,1372,TLD
E07000120,2021,230.3612311,182.1215815,42.45601071,5.783638974,1570,TLD
E07000120,2022,211.8551234,161.4471361,45.09982671,5.308160587,1594,TLD
E07000120,2023,203.1452231,147.3669681,49.92703165,5.851223339,1618,TLD
E07000121,2015,641.2366853,365.4111985,220.3971578,55.42832906,3073,TLD
E07000121,2016,623.3735579,333.3541885,234.9033964,55.11597292,3094,TLD
E07000121,2017,629.6516889,326.5250868,247.2832077,55.84339441,3076,TLD
E07000121,2018,631.0432247,334.8543422,240.9273333,55.2615492,3029,TLD
E07000121,2019,601.8132492,320.5981809,226.6023717,54.61269654,3137,TLD
E07000121,2020,576.8928506,292.0267913,227.9806589,56.88540037,2970,TLD
E07000121,2021,612.1865999,331.7886312,225.2005229,55.19744575,3166,TLD
E07000121,2022,597.4049838,313.2517093,233.3864476,50.76682685,3305,TLD
E07000121,2023,573.773712,285.4205616,237.3277135,51.02543693,3429,TLD
E07000122,2015,278.4879989,191.3683527,74.79714555,12.32250068,1564,TLD
E07000122,2016,268.8430885,173.2363308,83.51376942,12.09298827,1681,TLD
E07000122,2017,265.5612296,163.0740496,90.44285701,12.04432301,1748,TLD
E07000122,2018,256.501422,153.8997244,90.20571931,12.39597831,1858,TLD
E07000122,2019,237.4462167,145.7155396,79.67227613,12.05840092,1880,TLD
E07000122,2020,215.6462251,126.9688908,76.40721709,12.27011722,1680,TLD
E07000122,2021,224.413477,139.7784812,72.70233523,11.93266059,1888,TLD
E07000122,2022,218.687793,129.1976642,78.78618348,10.7039453,1794,TLD
E07000122,2023,209.3328966,116.9306257,81.99513014,10.40714076,1833,TLD
E07000123,2015,488.1414822,339.1661705,122.6783063,26.29700544,4843,TLD
E07000123,2016,481.4274577,309.9602701,146.2252341,25.24195351,5129,TLD
E07000123,2017,500.1092207,296.4781193,178.546705,25.08439634,5086,TLD
E07000123,2018,531.831166,301.5159012,205.350953,24.96431174,5031,TLD
E07000123,2019,495.3392775,287.894917,182.3406294,25.10373114,5073,TLD
E07000123,2020,491.77989,303.8304709,162.1721477,25.77727142,4223,TLD
E07000123,2021,483.9434285,300.6734209,155.3905682,27.87943947,4811,TLD
E07000123,2022,454.261329,275.5915478,152.1921801,26.47760116,5091,TLD
E07000123,2023,447.3088605,264.2766762,156.624148,26.40803633,5170,TLD
E07000124,2015,1134.387908,819.4860104,189.4728321,125.429065,2046,TLD
E07000124,2016,1049.498585,784.6183629,196.4677189,68.41250283,1954,TLD
E07000124,2017,1022.25933,753.4785047,205.0761992,63.70462593,1990,TLD
E07000124,2018,1042.449436,738.0595089,202.2799845,102.1099423,1941,TLD
E07000124,2019,1004.398377,742.1857946,198.7414324,63.47115009,1804,TLD
E07000124,2020,943.0727303,665.3870813,196.397302,81.28834698,1975,TLD
E07000124,2021,1007.922767,726.9729557,193.8737426,87.07606855,2308,TLD
E07000124,2022,946.0322177,679.3126595,200.588906,66.13065225,2119,TLD
E07000124,2023,883.8505521,594.5212202,198.6385085,90.69082339,2043,TLD
E07000125,2015,288.1385146,179.8738884,80.22534892,28.03927733,1206,TLD
E07000125,2016,276.4085835,157.9826654,89.04255355,29.38336451,1165,TLD
E07000125,2017,277.8092994,147.4792558,98.15282147,32.1772221,1150,TLD
E07000125,2018,272.8206932,144.7887248,96.12699175,31.90497663,1105,TLD
E07000125,2019,256.2551531,138.5275591,87.02284978,30.70474417,1138,TLD
E07000125,2020,245.0132667,128.7173533,85.16526126,31.13065216,998,TLD
E07000125,2021,260.6571168,143.9169241,84.77630198,31.96389077,1147,TLD
E07000125,2022,245.5773581,130.8823268,85.67051454,29.02451675,1164,TLD
E07000125,2023,246.3485615,121.8825762,92.98430976,31.48167552,1184,TLD
E07000126,2015,393.6474483,287.2508692,87.14163948,19.25493965,3882,TLD
E07000126,2016,387.2543147,266.5236915,101.0696701,19.66095299,4023,TLD
E07000126,2017,397.7140835,265.6524822,111.6358313,20.42577003,4069,TLD
E07000126,2018,373.022458,245.6350508,107.2439896,20.14341751,3914,TLD
E07000126,2019,359.515314,246.6777986,93.16965724,19.66785812,3915,TLD
E07000126,2020,338.121509,226.2018247,91.94297328,19.97671103,3942,TLD
E07000126,2021,343.0121324,241.1973129,83.11741844,18.69740099,4419,TLD
E07000126,2022,319.589063,216.6836719,85.76398188,17.14140929,4457,TLD
E07000126,2023,310.9204993,199.2927725,93.71581974,17.91190702,4398,TLD
E07000127,2015,468.4142845,327.277083,67.12323324,74.01396827,2585,TLD
E07000127,2016,451.7894884,298.1779249,77.99002066,75.62154285,2813,TLD
E07000127,2017,484.7893192,320.5132078,86.50478767,77.77132375,2913,TLD
